發票年月,縣市,縣市代號,行業別,載具類別,電子發票張數,電子發票金額
2016/1/1,桃園市,H,電力設備製造業,使用載具,323,148671
2016/1/1,桃園市,H,電力及燃氣供應業,使用載具,329997,5259263340
2016/1/1,桃園市,H,電信業,使用載具,24780,32923537
2016/1/1,桃園市,H,零售業,使用載具,2665302,1143436409
2016/1/1,桃園市,H,陸上運輸業,使用載具,4888,801046
2016/1/1,桃園市,H,郵政及快遞業,使用載具,6167,1088251
2016/1/1,桃園市,H,運輸輔助業,使用載具,907,157529
2016/1/1,桃園市,H,運動、娛樂及休閒服務業,使用載具,10007,12232535
2016/1/1,桃園市,H,資料處理及資訊供應服務業,使用載具,60,525921
2016/1/1,桃園市,H,租賃業,使用載具,24,15644
2016/1/1,桃園市,H,用水供應業,使用載具,360397,292155288
2016/1/1,桃園市,H,批發業,使用載具,14546,44504271
2016/1/1,桃園市,H,專門設計服務業,使用載具,1262,522697
2016/1/1,桃園市,H,專門營造業,使用載具,1278776,992312696
2016/1/1,桃園市,H,印刷及資料儲存媒體複製業,使用載具,678,473052
2016/1/1,桃園市,H,化學製品製造業,使用載具,562,1227961
2016/1/1,桃園市,H,其他專業、科學及技術服務業,使用載具,1399,111982
2016/1/1,桃園市,H,傳播及節目播送業,使用載具,219336,278099724
2016/1/1,桃園市,H,個人及家庭用品維修業,使用載具,301,291075
2016/1/1,桃園市,H,倉儲業,使用載具,2524,458589
2016/1/1,桃園市,H,住宿服務業,使用載具,1,384
2016/1/1,桃園市,H,人力仲介及供應業,使用載具,2192,209057
2016/1/1,桃園市,H,不動產經營及相關服務業,使用載具,16,2380
2016/1/1,宜蘭縣,G,餐飲業,使用載具,598,82113
2016/1/1,宜蘭縣,G,飲料製造業,使用載具,15,14966
2016/1/1,宜蘭縣,G,食品製造業,使用載具,7,995
2016/1/1,宜蘭縣,G,電力設備製造業,使用載具,53646,558488786
2016/1/1,宜蘭縣,G,電信業,使用載具,263610,187289599
2016/1/1,宜蘭縣,G,零售業,使用載具,235428,31485968
2016/1/1,宜蘭縣,G,陸上運輸業,使用載具,41578,24140090
2016/1/1,宜蘭縣,G,郵政及快遞業,使用載具,5726,1001270
2016/1/1,宜蘭縣,G,運動、娛樂及休閒服務業,使用載具,112,15314
2016/1/1,宜蘭縣,G,紡織業,使用載具,18,4500
2016/1/1,宜蘭縣,G,用水供應業,使用載具,40082,28776393
2016/1/1,宜蘭縣,G,批發業,使用載具,3401,4117996
2016/1/1,宜蘭縣,G,建築物及綠化服務業,使用載具,103,164740
2016/1/1,宜蘭縣,G,化學製品製造業,使用載具,92,82962
2016/1/1,宜蘭縣,G,化學材料製造業,使用載具,340,84483
2016/1/1,宜蘭縣,G,傳播及節目播送業,使用載具,63157,58487489
2016/1/1,宜蘭縣,G,個人及家庭用品維修業,使用載具,2,2192
2016/1/1,宜蘭縣,G,住宿服務業,使用載具,2,770
2016/1/1,宜蘭縣,G,企業總管理機構及管理顧問業,使用載具,3,3668
2016/1/1,宜蘭縣,G,人力仲介及供應業,使用載具,1657,164941
2016/1/1,新北市,F,餐飲業,使用載具,13248,1750747
2016/1/1,新北市,F,飲料製造業,使用載具,30,4288
2016/1/1,新北市,F,食品製造業,使用載具,9767,1140451
2016/1/1,新北市,F,電腦系統設計服務業,使用載具,1730,3018650
2016/1/1,新北市,F,電腦、電子產品及光學製品製造業,使用載具,59,50734
2016/1/1,新北市,F,電子零組件製造業,使用載具,315,532618
2016/1/1,新北市,F,電力設備製造業,使用載具,200105,1211220928
2016/1/1,新北市,F,電力及燃氣供應業,使用載具,639241,2368255213
2016/1/1,新北市,F,電信業,使用載具,2217976,1657806072
2016/1/1,新北市,F,零售業,使用載具,4582004,1923225199
2016/1/1,新北市,F,陸上運輸業,使用載具,7197,1397015
2016/1/1,新北市,F,郵政及快遞業,使用載具,7669,1512884
2016/1/1,新北市,F,運輸輔助業,使用載具,11389,6411355
2016/1/1,新北市,F,運動、娛樂及休閒服務業,使用載具,49643,58989906
2016/1/1,新北市,F,農、牧業,使用載具,53,519258
2016/1/1,新北市,F,資料處理及資訊供應服務業,使用載具,132561,85374841
2016/1/1,新北市,F,證券期貨及其他金融業,使用載具,1,99
2016/1/1,新北市,F,紡織業,使用載具,2601,2860683
2016/1/1,新北市,F,租賃業,使用載具,1,3300
2016/1/1,新北市,F,石油及煤製品製造業,使用載具,788,237716
2016/1/1,新北市,F,石油及天然氣礦業,使用載具,1100,236553
2016/1/1,新北市,F,用水供應業,使用載具,323734,192522406
2016/1/1,新北市,F,機械設備製造業,使用載具,21,47411
2016/1/1,新北市,F,批發業,使用載具,211480,152231942
2016/1/1,新北市,F,成衣及服飾品製造業,使用載具,1,5256
2016/1/1,新北市,F,影片服務、聲音錄製及音樂出版業,使用載具,217,237711
2016/1/1,新北市,F,建築、工程服務及技術檢測、分析服務業,使用載具,478,668530
2016/1/1,新北市,F,廣告業及市場研究業,使用載具,77,11604628
2016/1/1,新北市,F,廢（污）水處理業,使用載具,42903,26966035
2016/1/1,新北市,F,專門設計服務業,使用載具,172,124579
2016/1/1,新北市,F,專門營造業,使用載具,2703,6609354
2016/1/1,新北市,F,塑膠製品製造業,使用載具,1204,1454851
2016/1/1,新北市,F,印刷及資料儲存媒體複製業,使用載具,15,22200
2016/1/1,新北市,F,創作及藝術表演業,使用載具,101,2896544
2016/1/1,新北市,F,出版業,使用載具,126091,202086634
2016/1/1,新北市,F,其他專業、科學及技術服務業,使用載具,2,225
2016/1/1,新北市,F,傳播及節目播送業,使用載具,369567,509228335
2016/1/1,新北市,F,個人及家庭用品維修業,使用載具,4,7284
2016/1/1,新北市,F,倉儲業,使用載具,932,1929279
2016/1/1,新北市,F,住宿服務業,使用載具,6,223
2016/1/1,新北市,F,企業總管理機構及管理顧問業,使用載具,1,99
2016/1/1,新北市,F,人力仲介及供應業,使用載具,34241,2695307
2016/1/1,新北市,F,不動產開發業,使用載具,987,608221
2016/1/1,新北市,F,不動產經營及相關服務業,使用載具,10295,467246
2016/1/1,基隆市,C,餐飲業,使用載具,453,77557
2016/1/1,基隆市,C,食品製造業,使用載具,40,4856
2016/1/1,基隆市,C,電力及燃氣供應業,使用載具,125588,540850697
2016/1/1,基隆市,C,電信業,使用載具,435230,320278653
2016/1/1,基隆市,C,零售業,使用載具,240032,30813206
2016/1/1,基隆市,C,陸上運輸業,使用載具,3666,667599
2016/1/1,基隆市,C,運動、娛樂及休閒服務業,使用載具,21,2818
2016/1/1,基隆市,C,石油及煤製品製造業,使用載具,44,7577
2016/1/1,基隆市,C,用水供應業,使用載具,74370,70610346
2016/1/1,基隆市,C,批發業,使用載具,3536,838804
2016/1/1,基隆市,C,傳播及節目播送業,使用載具,31456,54472267
2016/1/1,基隆市,C,個人及家庭用品維修業,使用載具,47,25560
2016/1/1,雲林縣,P,餐飲業,使用載具,10714,1025903
2016/1/1,雲林縣,P,食品製造業,使用載具,19,3091
2016/1/1,雲林縣,P,電信業,使用載具,459544,280055899
2016/1/1,雲林縣,P,零售業,使用載具,286200,56268823
2016/1/1,雲林縣,P,陸上運輸業,使用載具,11703,2024342
2016/1/1,雲林縣,P,運輸輔助業,使用載具,14075,1971482
2016/1/1,雲林縣,P,運動、娛樂及休閒服務業,使用載具,39,7598
2016/1/1,雲林縣,P,石油及煤製品製造業,使用載具,3990,1010496
2016/1/1,雲林縣,P,石油及天然氣礦業,使用載具,221,66538
2016/1/1,雲林縣,P,用水供應業,使用載具,115917,72253170
2016/1/1,雲林縣,P,批發業,使用載具,8711,19846457
2016/1/1,雲林縣,P,專門營造業,使用載具,105131,936039343
2016/1/1,雲林縣,P,宗教、職業及類似組織,使用載具,6,1755
2016/1/1,雲林縣,P,化學材料製造業,使用載具,3371,1664948
2016/1/1,雲林縣,P,傳播及節目播送業,使用載具,47892,42238976
2016/1/1,彰化縣,N,餐飲業,使用載具,3143,383429
2016/1/1,彰化縣,N,食品製造業,使用載具,16,17772
2016/1/1,彰化縣,N,電力及燃氣供應業,使用載具,177851,1737588325
2016/1/1,彰化縣,N,電信業,使用載具,898676,622774719
2016/1/1,彰化縣,N,零售業,使用載具,683347,143229095
2016/1/1,彰化縣,N,陸上運輸業,使用載具,10088,1704513
2016/1/1,彰化縣,N,運輸輔助業,使用載具,10609,1789284
2016/1/1,彰化縣,N,運動、娛樂及休閒服務業,使用載具,85,14046
2016/1/1,彰化縣,N,資料處理及資訊供應服務業,使用載具,334,219820
2016/1/1,彰化縣,N,用水供應業,使用載具,176266,106369703
2016/1/1,彰化縣,N,批發業,使用載具,15218,25676403
2016/1/1,彰化縣,N,化學材料製造業,使用載具,317,78550
2016/1/1,彰化縣,N,傳播及節目播送業,使用載具,51639,55833856
2016/1/1,彰化縣,N,人力仲介及供應業,使用載具,3809,1495207
2016/1/1,彰化縣,N,不動產經營及相關服務業,使用載具,21,3836
2016/1/1,南投縣,M,餐飲業,使用載具,1164,171185
2016/1/1,南投縣,M,飲料製造業,使用載具,55,33085
2016/1/1,南投縣,M,食品製造業,使用載具,26,15858
2016/1/1,南投縣,M,電力及燃氣供應業,使用載具,80468,667906938
2016/1/1,南投縣,M,電信業,使用載具,367943,237528207
2016/1/1,南投縣,M,零售業,使用載具,334720,75010617
2016/1/1,南投縣,M,陸上運輸業,使用載具,18627,3277351
2016/1/1,南投縣,M,運輸輔助業,使用載具,10708,1594278
2016/1/1,南投縣,M,用水供應業,使用載具,68060,40213501
2016/1/1,南投縣,M,林業,使用載具,52,15440
2016/1/1,南投縣,M,批發業,使用載具,2837,10861217
2016/1/1,南投縣,M,影片服務、聲音錄製及音樂出版業,使用載具,10002,10747787
2016/1/1,南投縣,M,專門設計服務業,使用載具,97,55986
2016/1/1,南投縣,M,化學材料製造業,使用載具,182,994715
2016/1/1,南投縣,M,傳播及節目播送業,使用載具,17090,19508249
2016/1/1,南投縣,M,住宿服務業,使用載具,12,29500
2016/1/1,南投縣,M,不動產經營及相關服務業,使用載具,1708,160760
2016/1/1,苗栗縣,K,餐飲業,使用載具,2545,358388
2016/1/1,苗栗縣,K,飲料製造業,使用載具,19,35835
2016/1/1,苗栗縣,K,電力及燃氣供應業,使用載具,87082,1399208472
2016/1/1,苗栗縣,K,電信業,使用載具,379817,258592019
2016/1/1,苗栗縣,K,零售業,使用載具,454792,85421187
2016/1/1,苗栗縣,K,陸上運輸業,使用載具,6978,1130948
2016/1/1,苗栗縣,K,運動、娛樂及休閒服務業,使用載具,317,28831
2016/1/1,苗栗縣,K,用水供應業,使用載具,76956,63953689
2016/1/1,苗栗縣,K,批發業,使用載具,2530,1814845
2016/1/1,苗栗縣,K,影片服務、聲音錄製及音樂出版業,使用載具,36,3236
2016/1/1,苗栗縣,K,創作及藝術表演業,使用載具,1,2298
2016/1/1,苗栗縣,K,傳播及節目播送業,使用載具,44213,54381217
2016/1/1,苗栗縣,K,個人及家庭用品維修業,使用載具,75,37008
2016/1/1,臺中市,B,餐飲業,使用載具,34410,8206680
2016/1/1,臺中市,B,飲料製造業,使用載具,28,24433
2016/1/1,臺中市,B,食品製造業,使用載具,113,11508
2016/1/1,臺中市,B,電子零組件製造業,使用載具,5463,5945119
2016/1/1,臺中市,B,電力及燃氣供應業,使用載具,396003,4451542043
2016/1/1,臺中市,B,電信業,使用載具,2117708,1603778407
2016/1/1,臺中市,B,零售業,使用載具,2935380,823227070
2016/1/1,臺中市,B,陸上運輸業,使用載具,12434,2014198
2016/1/1,臺中市,B,郵政及快遞業,使用載具,3387,618460
2016/1/1,臺中市,B,運輸輔助業,使用載具,22851,3523369
2016/1/1,臺中市,B,運動、娛樂及休閒服務業,使用載具,13717,14028383
2016/1/1,臺中市,B,資料處理及資訊供應服務業,使用載具,1766,1819774
2016/1/1,臺中市,B,證券期貨及其他金融業,使用載具,993,300710
2016/1/1,臺中市,B,租賃業,使用載具,2,3150
2016/1/1,臺中市,B,石油及煤製品製造業,使用載具,911,222513
2016/1/1,臺中市,B,用水供應業,使用載具,450951,321561177
2016/1/1,臺中市,B,批發業,使用載具,67288,84668875
2016/1/1,臺中市,B,影片服務、聲音錄製及音樂出版業,使用載具,315,18709
2016/1/1,臺中市,B,專門營造業,使用載具,1017,7339685
2016/1/1,臺中市,B,土木工程業,使用載具,13,5108
2016/1/1,臺中市,B,印刷及資料儲存媒體複製業,使用載具,2739,2245870
2016/1/1,臺中市,B,化學製品製造業,使用載具,686,1998638
2016/1/1,臺中市,B,出版業,使用載具,42,790340
